住居名,url,家賃,住所,最寄り駅,岡山駅までの距離,学校までの距離,間取り,専用設備,共通設備
クレストール津島京町,https://unilife.co.jp/view/12368,3.6万円 ～ 4.15万円,岡山県岡山市北区津島京町3丁目3-13,"岡電バス「岡山商大前」停徒歩1分
ＪＲ津山線「法界院」駅 自転車12分(約2.7km)",3.1 km,130 m,1K／20.9m²／6.1帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / 家具付(一部) / 家電付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / 防犯ディンプルキー / エアコン,インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐輪場
Y・N・G西坂Ⅲ,https://unilife.co.jp/view/10169,4.3万円 ～ 4.7万円,岡山県岡山市北区津島西坂2丁目6-11,"岡電バス「明誠学院前」停徒歩4分
ＪＲ吉備線「備前三門」駅 自転車12分(約2.7km)",2.9 km,450 m,1K／24.02m²～27.03m²／8帖～8.3帖,セパレート（バス・トイレ） / 独立洗面化粧台(一部) / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(2口) / フローリング / 収納 / シューズケース / インターフォン / エアコン / オール電化(ガス無し),BSアンテナ / インターネット対応 / オートロック / 駐車場(任意) / 駐輪場(原付可)
Y・N・G西坂Ⅴ,https://unilife.co.jp/view/10170,4.4万円 ～ 4.9万円,岡山県岡山市北区津島西坂2丁目6-25,"岡電バス「明誠学院前」停徒歩4分
ＪＲ山陽本線「岡山」駅 自転車13分(約3.1km)
ＪＲ津山線「法界院」駅 自転車11分(約2.6km)",2.8 km,450 m,1K～5SLDK／25.7m²～28.8m²／8帖～10帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / RHコンロ(2口) / フローリング / 収納 / シューズケース / インターフォン / エアコン / オール電化(ガス無し),BSアンテナ / インターネット対応 / オートロック / エレベーター / 駐車場(任意) / 駐輪場(原付可)
Y・N・G西坂Ⅳ,https://unilife.co.jp/view/10171,4.3万円 ～ 4.6万円,岡山県岡山市北区津島西坂2丁目6-1,"岡電バス・中鉄バス「明誠学院前」停徒歩4分
ＪＲ津山線「法界院」駅 自転車11分(約2.6km)",3.0 km,450 m,1K／24.97m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / RHコンロ(2口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン / オール電化(ガス無し),BSアンテナ / インターネット対応 / オートロック / 駐車場(任意) / 駐輪場(原付可)
パーティアム津高,https://unilife.co.jp/view/10077,3.3万円 ～ 3.5万円,岡山県岡山市北区富原2900,"岡電バス「小幸田口」停 徒歩13分
ＪＲ津山線「法界院」駅 自転車20分(約4.8km)",5.2 km,2.3 km,1DK／26.49m²／10.5帖～11.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン / 個別給湯（ガス）,BSアンテナ / インターネット対応 / 駐車場(任意) / 駐輪場(原付可)
アバンティ学南町,https://unilife.co.jp/view/10605,3.95万円 ～ 4.95万円,岡山県岡山市北区学南町1丁目17-20,"岡電バス「大和町」停徒歩6分
ＪＲ津山線「法界院」駅 徒歩8分",2.1 km,2.4 km,1K／22.3m²～26.4m²／9.4帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 家具家電付(一部) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット(Wi-Fi対応) / 自動販売機 / 駐輪場(原付可) / 駐車場(任意)
AIBO大和町,https://unilife.co.jp/view/12436,5.2万円 ～ 5.45万円,岡山県岡山市北区大和町1丁目25-5,"岡電バス「大和町」停徒歩4分
ＪＲ津山線「法界院」駅 徒歩13分",1.9 km,2.5 km,1K／29.7m²／9帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(2口) / 居室照明器具 / サンルーム / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,プロパンガス / インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
アクティブ北方,https://unilife.co.jp/view/10173,4.4万円 ～ 4.5万円,岡山県岡山市北区北方2丁目1-13,"岡電バス「法界院駅前」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩4分",2.7 km,2.9 km,1K／18.69m²／7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 家電付(一部) / 家具付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン / 個別給湯（ガス）,プロパンガス / インターネット対応 / 駐輪場(原付可)
学生会館 津島HUB【食事付き】,https://unilife.co.jp/view/12157,4.85万円 ～ 5.85万円,岡山県岡山市北区津島東4丁目,"岡電バス「津島東3丁目」停　徒歩3分
ＪＲ津山線「法界院」駅 徒歩12分",3.6 km,2.8 km,1K／20.5m²／6帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機 / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ / 家具家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / バルコニー / フローリング / 収納 / シューズケース / 吊棚 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ（ユニセーフ24仕様） / 宅配BOX / 自動販売機 / 駐輪場(原付可) / 食堂（UniTimeKitchen仕様） / ユニタイムラウンジ / コミュニティルーム
学生会館 津島HUB ANNEX【食事付き】,https://unilife.co.jp/view/12417,5.5万円 ～ 5.95万円,岡山県岡山市北区津島東4丁目18-22,"岡電バス「津島東3丁目」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩12分",3.5 km,3.0 km,22.6m²／7.3帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機 / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ / 家具家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / バルコニー / フローリング / シューズケース / 吊棚 / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,プロパンガス / BSアンテナ / インターネット(Wi-Fi対応) / U-NEXTビデオ見放題(無料体験) / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
サンシティ京町,https://unilife.co.jp/view/11177,3.8万円 ～ 4.4万円,岡山県岡山市北区津島京町3丁目5-22,"岡電バス「岡山商大前」停徒歩2分
ＪＲ吉備線「備前三門」駅 自転車9分(約2.2km)",3.3 km,180 m,1K／26.8m²／8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 家電付(一部) / 居室照明器具 / バルコニー / フローリング / ロフト(一部) / 収納 / シューズケース / インターフォン / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / CATV / インターネット対応（無料） / オートロック / 防犯カメラ / 駐車場(任意) / 駐輪場(原付可)
メゾン津島,https://unilife.co.jp/view/10487,"3.45万円 ～ 4.2万円
（5F1Kロフトタイプ：3.95万円～4.25万円／2DKタイプ：4.8万円）",岡山県岡山市北区津島笹が瀬2-8,"岡電バス「岡山商大前」停徒歩2分
ＪＲ吉備線「備前三門」駅 自転車11分(約2.6km)",3.0 km,350 m,1K／21m²／6.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(2口) / 家具家電付(一部) / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / フローリング / バルコニー / 収納 / シューズケース / エアコン / 個別給湯（ガス）,プロパンガス / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ（ユニセーフ24仕様） / 宅配BOX / 駐輪場(原付可)
ベルハイム津島Ⅰ号館,https://unilife.co.jp/view/12233,4.65万円 ～ 4.95万円,岡山県岡山市北区津島西坂2丁目4-30,"岡電バス「明誠学院前」停徒歩3分
ＪＲ津山線「法界院」駅 自転車10分(約2.2km)",2.7 km,600 m,1K／28.8m²／9帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機 / 温水洗浄便座 / IHコンロ(2口) / 家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐車場(任意) / 駐輪場(原付可)
ボヌール津高,https://unilife.co.jp/view/10503,2.95万円 ～ 3.85万円,岡山県岡山市北区津高183-2,"岡電バス「笹が瀬」停徒歩4分
ＪＲ吉備線「備前三門」駅 自転車13分(約3.0km)",3.8 km,900 m,1K／22m²／7帖,セパレート（バス・トイレ） / 洗濯機 / 温水洗浄便座 / ガスコンロ(1口) / 家具家電付 / 冷蔵庫（２ドア） / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応 / オートロック / 宅配BOX / 駐輪場(原付可)
ニューレント津島,https://unilife.co.jp/view/11387,4.7万円 ～ 5万円,岡山県岡山市北区津島南2丁目5-5,"岡電バス「津島新道」停　徒歩3分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)",2.3 km,1.1 km,1K／23m²／8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ / 家電付(一部) / 居室照明器具 / バルコニー / フローリング / 収納 / シューズケース / インターフォン / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / CATV / インターネット対応（無料） / オートロック / 防犯カメラ / 駐車場(任意) / 駐輪場(原付可)
エスポアール津高,https://unilife.co.jp/view/10367,3.1万円 ～ 3.5万円,岡山県岡山市北区津高230-1,"岡電バス「津高妙でん寺」停徒歩3分
ＪＲ津山線「法界院」駅 自転車15分(約3.6km)",4.1 km,1.1 km,1K／21.33m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 居室照明器具 / フローリング / バルコニー / 収納 / エアコン,インターネット対応（無料） / オートロック / 駐車場(任意) / 駐輪場(原付可)
レガーロ津島,https://unilife.co.jp/view/10434,4.4万円 ～ 5.1万円,岡山県岡山市北区津島福居2丁目15-2,"岡電バス「福居2丁目」停徒歩3分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)",3.2 km,1.9 km,1K／24.01m²～24.84m²／7.6帖～8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / ガスコンロ(2口) / 家電付(一部) / 小窓(出窓) / 防犯シャッター / バルコニー / 専用庭 / シューズケース / WINクローゼット / インターフォン（TVモニター付) / ダブルロックキー / 防犯ディンプルキー / エアコン,CATV / BS・CSアンテナ / インターネット(Wi-Fi対応) / 宅配BOX / 駐輪場(原付可)
カレッジハイツ岡山,https://unilife.co.jp/view/1189,3万円 ～ 3.65万円,岡山県岡山市北区津倉町2丁目10-12,"中鉄バス「津倉町」停徒歩4分
ＪＲ山陽本線「岡山」駅 徒歩19分
ＪＲ吉備線「備前三門」駅 徒歩13分",1.3 km,2.0 km,1K／19m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室外) / 温水洗浄便座 / ガスコンロ(持込) / フリーシンク(洗面) / 家電付(一部) / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / フローリング / バルコニー / 収納 / エアコン / 個別給湯（ガス）,プロパンガス / UniLife-net光(J-FLASH) Wi-Fi対応 / インターネット対応（無料） / 防犯カメラ / 駐輪場(原付可)
コーディアルフォレスト,https://unilife.co.jp/view/11823,4.95万円 ～ 5.9万円,岡山県岡山市北区南方5丁目7-20,"岡電バス「スポーツセンター前」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩13分
ＪＲ山陽本線「岡山」駅 自転車7分(約1.7km)",1.6 km,2.4 km,1K／28.1m²～30.3m²／10帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(2口) / バルコニー / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 自動販売機 / 駐輪場(原付可)
アプリコット,https://unilife.co.jp/view/12168,5.25万円 ～ 5.75万円,岡山県岡山市北区南方5丁目8-15-11,ＪＲ津山線「法界院」駅 徒歩14分,1.7 km,2.5 km,27m²／8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ(2口) / 居室照明器具 / バルコニー / フローリング / 防犯シャッター / 吊棚 / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,プロパンガス / BSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
BAYER津島東,https://unilife.co.jp/view/12346,5.35万円 ～ 5.65万円,岡山県岡山市北区津島東2丁目5-,ＪＲ津山線「法界院」駅 徒歩7分,3.1 km,3.0 km,1K／27m²／8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ(2口) / 居室照明器具 / バルコニー / フローリング / 防犯シャッター / シューズケース / 吊棚 / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
MAINZ津島東,https://unilife.co.jp/view/12364,5.35万円 ～ 5.65万円,岡山県岡山市北区津島東1丁目,ＪＲ津山線「法界院」駅 徒歩7分,2.8 km,2.9 km,1K／27m²／8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ(2口) / 居室照明器具 / 防犯シャッター / フローリング / 吊棚 / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
Y・N・G西坂Ⅵ,https://unilife.co.jp/view/10538,5.9万円 ～ 6万円,岡山県岡山市北区津島西坂2丁目6-24,"岡電バス「明誠学院前」停徒歩5分
ＪＲ津山線「法界院」駅 自転車11分(約2.5km)",3.0 km,500 m,1DK／43.06m²／15帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / システムキッチン / 居室照明器具 / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン / オール電化(ガス無し),BSアンテナ / CSアンテナ / インターネット対応 / 駐輪場(原付可) / 駐車場(任意)
ベルハイム津島Ⅱ号館,https://unilife.co.jp/view/12234,4.65万円 ～ 4.95万円,岡山県岡山市北区津島西坂2丁目4-31,"岡電バス「明誠学院前」停徒歩3分
ＪＲ津山線「法界院」駅 自転車10分(約2.4km)",2.8 km,500 m,1R～1K／28.8m²／9帖～12帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機 / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(2口) / 家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,BSアンテナ / インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐輪場(原付可) / 駐車場(任意)
ネクスト津高A・B,https://unilife.co.jp/view/10379,3.5万円 ～ 3.95万円,岡山県岡山市北区津高188-1,"岡電バス「笹が瀬」停徒歩4分
ＪＲ吉備線「備前三門」駅 自転車13分(約3.0km)",3.8 km,900 m,1K／23m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / ガスコンロ(持込) / ガスコンロ(2口) / 家電付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット対応 / フロント手動ロック / 駐輪場(原付可)
ウイング,https://unilife.co.jp/view/10539,3.6万円 ～ 3.8万円,岡山県岡山市北区谷万成2丁目6-21,"中鉄バス「楢津口」停徒歩2分
ＪＲ吉備線「備前三門」駅 徒歩18分",3.0 km,1.2 km,1K／27m²／9帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / ガスコンロ(1口) / 家具付 / 家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / フローリング / バルコニー / 収納 / シューズケース / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / CATV / インターネット対応 / 駐輪場(原付可) / 駐車場(任意)
アーバンテラス津島福居,https://unilife.co.jp/view/11323,5.1万円 ～ 5.35万円,岡山県岡山市北区津島福居1丁目4-12,"岡電バス「妙善寺」停 徒歩1分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)",2.8 km,1.2 km,1K／24.73m²／7.6帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / 居室照明器具 / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,BSアンテナ / インターネット対応 / 駐輪場(原付可) / 駐車場(任意)
カナンハイツ津高,https://unilife.co.jp/view/1212,3.4万円 ～ 3.9万円,岡山県岡山市北区津高631-7,"岡電バス「中原」停 徒歩3分
ＪＲ津山線「法界院」駅 自転車16分(約3.7km)",4.6 km,1.7 km,1K／22m²～24m²／7帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / 家電付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / CATV / インターネット対応（無料） / 駐輪場(原付可) / 駐車場(任意)
重康第二コーポ,https://unilife.co.jp/view/10195,3.3万円,岡山県岡山市北区伊福町3丁目20-26,"岡電バス「岡工前」停徒歩4分
ＪＲ山陽本線「岡山」駅 徒歩15分",1.2 km,1.9 km,1DK／28.28m²／12.5帖,セパレート（バス・トイレ） / 洗濯機置場(室外) / 温水洗浄便座 / ガスコンロ(持込) / 居室照明器具 / フローリング / 収納 / エアコン,BSアンテナ / CSアンテナ / CATV / インターネット対応 / 駐車場(任意) / 駐輪場(原付可)
サンフローラ津島A・B,https://unilife.co.jp/view/10828,5万円 ～ 5.35万円,岡山県岡山市北区津島新野2丁目6-8,"岡電バス「新野」停徒歩8分
ＪＲ津山線「法界院」駅 徒歩18分",2.3 km,1.6 km,1K／31m²／10.1帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / ガスコンロ(2口) / バルコニー / フローリング / 吊棚 / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット(Wi-Fi対応) / 宅配BOX / 駐輪場(原付可)
ベルセゾン,https://unilife.co.jp/view/11358,3.9万円 ～ 4.3万円,岡山県岡山市北区津島福居2丁目14-1,"岡電バス「福居2丁目」停徒歩2分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)
ＪＲ山陽本線「岡山」駅 自転車14分(約3.4km)",3.3 km,2.1 km,1K／28.24m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,インターネット対応（無料） / 駐輪場(原付可)
プレジィール大和町,https://unilife.co.jp/view/1193,4.5万円 ～ 4.85万円,岡山県岡山市北区大和町1丁目9-20,"岡電バス「大和町」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩12分",1.9 km,2.7 km,1K／23.1m²～27.3m²／8帖～10帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 家電付(一部) / 居室照明器具 / バルコニー / シューズケース / インターフォン / エアコン,プロパンガス / BSアンテナ / インターネット対応 / オートロック / 駐輪場(原付可)
Y・N・G西坂Ⅰ,https://unilife.co.jp/view/10285,5.9万円 ～ 6.1万円,岡山県岡山市北区津島西坂3丁目4-14,"岡電バス「明誠学院前」停徒歩4分
ＪＲ津山線「法界院」駅 自転車11分(約2.6km)
ＪＲ吉備線「備前三門」駅 自転車11分(約2.6km)
ＪＲ山陽本線「岡山」駅 自転車14分(約3.2km)",3.0 km,500 m,3LDK／65m²／32帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / ガスコンロ(1口) / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,駐車場(任意) / 駐輪場(原付可)
ベルハイム津島Ⅲ号館,https://unilife.co.jp/view/12235,4.95万円 ～ 5.3万円,岡山県岡山市北区津島西坂2丁目4-17,"岡電バス「明誠学院前」停徒歩3分
ＪＲ津山線「法界院」駅 自転車10分(約2.3km)",2.8 km,500 m,1R／32.6m²／18.3帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機 / 洗濯機置場(室内) / 温水洗浄便座 / RHコンロ(2口) / 家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,BSアンテナ / インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐車場(任意) / 駐輪場(原付可)
YS-36,https://unilife.co.jp/view/924371,5.7万円 ～ 6.2万円,岡山県岡山市北区津島新野1丁目7-,岡電バス「新野」 停徒歩2分,2.2 km,1.8 km,1K／23.92m²～27.01m²,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 浴室乾燥機 / 追焚き機能付バス / 温水洗浄便座 / ガスコンロ(2口) / 居室照明器具 / バルコニー / フローリング / 防犯シャッター / シューズケース / 床下収納 / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場
ラポール津島,https://unilife.co.jp/view/10727,3.8万円 ～ 4.4万円,岡山県岡山市北区津島西坂2丁目4-8,"岡電バス「明誠学院前」停徒歩1分
ＪＲ吉備線「備前三門」駅 自転車10分(約2.4km)",2.7 km,450 m,1K／17.82m²～27.8m²／6帖～9.7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / フローリング / バルコニー / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット対応（無料） / 駐輪場(原付可)
ハイコーポイシマ,https://unilife.co.jp/view/10386,2.9万円 ～ 3.4万円,岡山県岡山市北区伊島町3丁目2-12,"岡電バス「伊島町2丁目」停徒歩6分
ＪＲ吉備線「備前三門」駅 自転車9分(約2.2km)",2.2 km,1.2 km,1K／25m²／10帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 暖房便座 / 浴室乾燥機 / ガスコンロ(持込) / 家電付(一部) / 居室照明器具 / フローリング / 収納 / インターフォン / エアコン / 個別給湯（ガス）,都市ガス / BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / インターネット対応（無料） / 駐輪場(原付可)
サンパレス津島本町,https://unilife.co.jp/view/10623,4.9万円 ～ 5.35万円,岡山県岡山市北区津島本町2-27-2,"岡電バス「妙善寺」停徒歩6分
ＪＲ津山線「法界院」駅 自転車9分(約2.2km)",2.8 km,1.0 km,1R／30.1m²～30.78m²／11.6帖～12.1帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / ガスコンロ(2口) / システムキッチン / 小窓(出窓) / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / カードキー / エアコン,BSアンテナ / インターネット対応（無料） / オートロック / 駐輪場(原付可)
ユーホニア,https://unilife.co.jp/view/10593,4.4万円 ～ 5万円,岡山県岡山市北区津島新野2丁目2-1,"岡電バス「新野」停徒歩1分
ＪＲ津山線「法界院」駅 徒歩18分",2.0 km,1.5 km,1K／22.6m²～25.57m²／8帖～8.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / ダブルロックキー / エアコン,CATV / インターネット対応（無料） / オートロック / 駐輪場(原付可)
ウィンライフ津島Ⅱ,https://unilife.co.jp/view/1181,4.95万円 ～ 5.55万円,岡山県岡山市北区津島福居2丁目12-31,"岡電バス「福居２丁目」停徒歩1分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)",3.1 km,2.0 km,1K～1DK／29.2m²～32.3m²／10帖～14.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / ガスコンロ(持込) / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,CATV / インターネット対応 / 駐車場(任意) / 駐輪場(原付可)
ピアカタヤマⅠ,https://unilife.co.jp/view/10246,3.9万円 ～ 4.3万円,岡山県岡山市北区学南町2丁目5-19,"岡電バス「岡山大学筋」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩10分",2.1 km,2.0 km,1K／18.36m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / IHコンロ(1口) / フローリング / バルコニー / 収納 / エアコン,BSアンテナ / インターネット対応 / 駐車場(任意)
ピアカタヤマⅡ,https://unilife.co.jp/view/10247,4.6万円 ～ 4.8万円,岡山県岡山市北区学南町2丁目5-19,"岡電バス「岡山大学筋」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩10分",2.1 km,2.0 km,1K／24.7m²／7.8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / フローリング / シューズケース / 収納 / インターフォン / エアコン,インターネット対応 / 駐車場(任意)
NEXTAGE,https://unilife.co.jp/view/10432,4.5万円 ～ 5万円,岡山県岡山市北区学南町2丁目6-69,"岡電バス「岡山大学筋」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩10分",2.0 km,1.9 km,1K／22.8m²／7.5帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / 居室照明器具 / バルコニー / フローリング / シューズケース / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,都市ガス / BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / 自動販売機 / 駐輪場(原付可)
